datetime,RH%,tempC,CH4smV,K33_RH,K33_Temp,K33_CO2,SampleNumber,PumpCycle,pred_CH4,station,sensor
2021-09-28T04:41:27Z,78.3,17.6,800.78,48.81,25.41,372,896,2,48.5904376437992,1,1
2021-09-28T04:41:30Z,78.3,17.6,800.78,48.91,25.37,375,897,2,48.5904376437992,1,1
2021-09-28T04:41:32Z,78.3,17.6,805.66,48.91,25.37,375,898,2,49.56292624345724,1,1
2021-09-28T04:41:34Z,78.3,17.6,810.55,48.91,25.37,375,899,2,50.545280330602566,1,1
2021-09-28T04:41:36Z,78.3,17.6,805.66,48.91,25.37,375,900,2,49.56292624345724,1,1
2021-09-28T04:41:38Z,78.3,17.6,805.66,48.91,25.37,375,901,2,49.56292624345724,1,1
2021-09-28T04:41:40Z,78.3,17.6,805.66,48.91,25.37,375,902,2,49.56292624345724,1,1
2021-09-28T04:41:42Z,78.3,17.6,805.66,48.91,25.37,375,903,2,49.56292624345724,1,1
2021-09-28T04:41:44Z,78.3,17.6,800.78,48.91,25.37,375,904,2,48.5904376437992,1,1
2021-09-28T04:41:46Z,78.3,17.6,805.66,48.91,25.37,375,905,2,49.56292624345724,1,1
2021-09-28T04:41:48Z,78.3,17.6,800.78,48.91,25.37,375,906,2,48.5904376437992,1,1
2021-09-28T04:41:50Z,78.3,17.6,800.78,48.91,25.38,374,907,2,48.5904376437992,1,1
2021-09-28T04:41:52Z,78.3,17.6,810.55,48.91,25.38,374,908,2,50.545280330602566,1,1
2021-09-28T04:41:54Z,78.3,17.6,810.55,48.91,25.38,374,909,2,50.545280330602566,1,1
2021-09-28T04:41:56Z,78.3,17.6,810.55,48.91,25.38,374,910,2,50.545280330602566,1,1
2021-09-28T04:41:58Z,78.3,17.6,810.55,48.91,25.38,374,911,2,50.545280330602566,1,1
2021-09-28T04:42:00Z,78.3,17.6,810.55,48.91,25.38,374,912,2,50.545280330602566,1,1
2021-09-28T04:42:02Z,78.3,17.6,810.55,48.91,25.38,374,913,2,50.545280330602566,1,1
2021-09-28T04:42:04Z,78.3,17.6,805.66,48.91,25.38,374,914,2,49.56292624345724,1,1
2021-09-28T04:42:06Z,78.3,17.6,805.66,48.91,25.38,374,915,2,49.56292624345724,1,1
2021-09-28T04:42:08Z,78.3,17.6,805.66,48.91,25.38,374,916,2,49.56292624345724,1,1
2021-09-28T04:42:10Z,78.3,17.6,805.66,48.88,25.43,376,917,2,49.56292624345724,1,1
2021-09-28T04:42:12Z,78.3,17.6,810.55,48.88,25.43,376,918,2,50.545280330602566,1,1
2021-09-28T04:42:14Z,78.3,17.6,810.55,48.88,25.43,376,919,2,50.545280330602566,1,1
2021-09-28T04:42:16Z,78.3,17.6,810.55,48.88,25.43,376,920,2,50.545280330602566,1,1
2021-09-28T04:42:18Z,78.3,17.6,810.55,48.88,25.43,376,921,2,50.545280330602566,1,1
2021-09-28T04:42:20Z,78.3,17.6,810.55,48.88,25.43,376,922,2,50.545280330602566,1,1
2021-09-28T04:42:22Z,78.2,17.6,810.55,48.88,25.43,376,923,2,50.59127857772555,1,1
2021-09-28T04:42:24Z,78.2,17.6,805.66,48.88,25.43,376,924,2,49.60833371274637,1,1
2021-09-28T04:42:26Z,78.2,17.6,805.66,48.88,25.43,376,925,2,49.60833371274637,1,1
